figure,panels,sample_state,temperature_C,frequency_Hz,epsilon_real,epsilon_loss,digitization_score_real,digitization_score_loss,selection,provenance
Figure2,A/B,unpoled,-30,1000,7.183908,1.0094815,5.0990195,7.8740079,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,1995.2623,6.6091954,0.90994762,9.1104336,8.6023253,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,19.952623,11.551724,0.53138567,3,2.236068,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,39.810717,11.264368,0.57305555,5.3851648,5.0990195,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,100,10.977011,0.74636423,2.4494897,1.4142136,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,199.52623,10.574713,0.95391175,3,2.4494897,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,501.18723,9.6551724,1.1093842,3.3166248,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,1000,9.2528736,1.2901961,5.0990195,2.236068,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,2511.8864,8.2183908,1.3398284,3.1622777,4.8989795,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,5011.8723,7.5862069,1.2901961,1,5.4772256,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,12589.254,6.954023,1.1740109,2.4494897,1,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-20,25118.864,6.6091954,1.1093842,0,1.7320508,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,199.52623,11.724138,0.46562124,3.6055513,9.1104336,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,398.10717,11.494253,0.58397391,7.0710678,6,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,1000,11.034483,0.91857528,12.041595,9.486833,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,1995.2623,10.689655,1.1520608,9.1104336,10.099505,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,5011.8723,9.8275862,1.4045622,11,13.747727,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,10000,9.1954023,1.529066,11.045361,6.4031242,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,25118.864,8.045977,1.5581991,9.9498744,3.3166248,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,50118.723,7.6436782,1.5004776,4.5825757,8.3666003,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,125892.54,6.7816092,1.2307333,10.099505,11.7047,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-10,251188.64,6.1494253,1.1305211,5.8309519,11.575837,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,1000,12.011494,0.47003603,1,1.4142136,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,1995.2623,11.724138,0.60074273,3.1622777,4.3588989,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,5011.8723,11.494253,0.92728474,3,1.7320508,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,10000,10.804598,1.1520608,3.1622777,4,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,25118.864,10.344828,1.4863844,2.236068,6.164414,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,50118.723,9.1954023,1.7124053,4.5825757,3.3166248,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,125892.54,7.9310345,1.7286414,1.7320508,4.2426407,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,251188.64,7.6436782,1.5878873,2.4494897,6.9282032,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,630957.34,6.6666667,1.3147781,4.1231056,1.4142136,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,0,1258925.4,5.7471264,1.1305211,1.4142136,5.7445626,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,2511.8864,12.241379,0.43998981,5.0990195,3.7416574,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,5011.8723,12.011494,0.55705957,3.1622777,10.677078,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,12589.254,11.724138,0.69865423,4.5825757,11.661904,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,25118.864,11.494253,1.028715,9.486833,9.486833,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,63095.734,10.45977,1.39137,10.34408,9.4339811,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,125892.54,9.7701149,1.6334835,7.3484692,6.9282032,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,316227.77,8.5632184,1.8818724,4.5825757,8.6023253,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,630957.34,7.6436782,1.7782794,7.4833148,10.29563,ALPHA_WINDOW,DIGITIZED_SOURCE
